,artist_id,artist,song,lyrics,year
84,57,Chris Brown & Lil' Wayne,Loyal,"
Young Mula, baby!
Haha, you thought it was over?


I wasn't born last night
I know these hoes ain’t right
But you was blowing up her phone last night
But she ain’t have her ringer nor her ring on last night, oh
Nigga, that’s that nerve
Why give a bitch your heart when she'd rather have a purse?
Why give a bitch an inch when she'd rather have nine?
You know how the game goes, she be mine by halftime, I’m the shit, oh
Nigga, that’s that nerve
You all about her, and she all about hers
Birdman Junior in this bitch, no flamingos
And I done did everything but trust these hoes
CB fuck with me!


When a rich nigga want you
And your nigga can't do nothing for ya
These hoes ain’t loyal
These hoes ain’t loyal
Yeah, yeah, let me see


Just got rich
Took a broke nigga’s bitch
I can make a broke bitch rich
But I don’t fuck with broke bitches


Got a white girl with some fake titties
I took her to the Bay with me
Eyes closed, smoking marijuana
Rolling up that Bob Marley, I’m a rasta
She wanna do drugs
Smoke weed, get drunk
She wanna see a nigga trap
She wanna fuck all the rappers


When a rich nigga want you
And your nigga can't do nothing for ya
These hoes ain’t loyal
These hoes ain’t loyal
Yeah, yeah, let me see


Black girl with a big booty
If she a bad bitch, let’s get to it right away
We up in this club
Bring me the bottles
I know girl, that you came in this bitch with your man
That’s a no-no girl
All this money in the air
I wanna see you dance


Just got rich
Took a broke nigga’s bitch
I can make a broke bitch rich
But I don’t fuck with broke bitches


When a rich nigga want you
And your nigga can't do nothing for ya
These hoes ain’t loyal
These hoes ain’t loyal
Yeah, yeah, yeah, yeah, yeah, let me see


(Ha!) Uh, rich young nigga
Name got bigger and my change got bigger, so my chains got bigger
Ferrari, Jaguar, switching four lanes
With the top down screaming out, ""Money ain't a thing""
Ha, me and CB in the Bay with her
I sent her back home so you can lay with her
Okay, let's talk about this ice that I'm carrying
All these karats like I'm a fucking vegetarian
Shout-out Weezy F., keep a redbone wet
Rose Rolex, hoes on deck, she know I got a check
Do it too good when she ride that dick
Man I wouldn't trust that bitch, no


Come on, come on, girl, why you fronting?
Baby show me something
When I call her, she gon’ leave
And I bet that bottom dollar she gon’ cheat
Come on, come on, girl, why you fronting?
Baby show me something
You done spent your bread on her
And it’s all for nothing


When a rich nigga want you
And your nigga can't do nothing for ya
These hoes ain’t loyal
These hoes ain’t loyal
Yeah, yeah, let me see
When a rich nigga want you
And your nigga can't do nothing for ya
These hoes ain’t loyal, they be playing games, yeah
These hoes ain’t loyal
Yeah, yeah, let me see


Yeah, let me see
Yeah, let me see
Let me see
Oh, these hoes ain't loyal, let me see",2014
85,58,Chris Brown & Tyga,Ayo,"
I need you, I need you
I need you, I need you
I need you, I need you
I need you, I need you


We poppin' like ayo
All my bitches got real hair chilling with the top down
Screaming like ayo
I'ma take her ass down when she bring her friend around
Fuck 'em both like ayo
I'm a bougie ass nigga, left the roof at home
We popping like ayo, ayo, ayo
But don't be acting like I need you


Ah, ay babe, this my new shit
I'm the black Richie Rich with the roof missing
If it don't make dollars, don't make sense
Z, wake up like I gotta get it
And I got an engine full of trunk space
I get money three ways, fucking bitches three ways
7 different foreigns plus she no hablé
But I make that bitch walk for some cheesecake
Yeah, I'm the coldest nigga, icy
Looking in the mirror like I wish I can be me
She too into me, I'm more into money
My hobby's her body, that pussy's my lobby
I'ma eat it, I'ma eat it
I don't lie, hold my dick, too conceited
Uh, told her she's my wife for the weekend
But don't be acting like I need you cause we poppin' like


Ayo
All my bitches got real hair chilling with the top down
Screaming like ayo
I'ma take her ass down when she bring her friend around
Fuck 'em both like ayo
I'm a bougie ass nigga, left the roof at home
We popping like ayo, ayo, ayo
But don't be acting like I need you


I'm in a Rolls, you don't roll right
My chain shine brighter than a strobe light
I'm tryna fuck Coco, this don't concern Ice
If I motorboat, she gon' motorbike
A nigga ain't worried about nothin'
Rehabilitation just had me worried about fucking
Money, decision-making, only worried about stunting
She worried about me, her nigga worried about cuffing
I wanna see her body, body
And she said get inside of me
I wanna feel you baby, yeah
Just bring the animal right out of me
We loving, she love it
Especially when I go down on her
Now we fucking, she thugging
Getting loud, cause we poppin' like


Ayo
All my bitches got real hair chilling with the top down
Screaming like ayo
I'ma take her ass down when she bring her friend around
Fuck 'em both like ayo
I'm a bougie ass nigga, left the roof at home
We popping like ayo, ayo, ayo
But don't be acting like I need you


Huh, look, alright, now I can spot your bitch from a mile away
Valentine in that pussy, it's a holiday
Uh, you losing money, I win mills, Dr. J
She gon' to follow my lead, Simon Says
Paper, paper, I'm riding 'scrapers in California
Car smelling like ammonia, we got that stank on us
Never been an Outkast that stank on ya
From the ghetto but my bitch like Apollonia
We in the hood, tatted like a Mexican
Car too fast, give a fuck about pedestrians
And my section less niggas, more lesbians
Got your bitch, I'm that nigga
Yeah we poppin' like


Ayo
All my bitches got real hair chilling with the top down
Screaming like ayo
I'ma take her ass down when she bring her friend around
Fuck 'em both like ayo
I'm a bougie ass nigga, left the roof at home
We popping like ayo, ayo, ayo
But don't be acting like I need you


Yeah, this that fly shit, King shit only
Drop top, no roof, ah
(I need you)
(I need you)",2015
86,59,Clean Bandit & Demi Lovato,Solo,"
It's solo, solo everybody
It's solo, e-e-e-everybody
It's solo, solo, everybody
Woop, woop, woop, woop, woop, woop, woop


I never meant to leave you hurtin'
I never meant to do the worst thing
Not to you (it's solo, solo everybody)
'Cause every time I read your message
I wish I wasn't one of your exes
Now I'm the fool (It's solo, solo everybody)


Since you've been gone
I've been dancing on my own
There's boys up in my zone
But they can't turn me on
'Cause baby you're
The only one I'm coming for
I can't take no more
No more, no more


I wanna f-woop, woop woop, but I'm broken hearted
Cr-cr-cry, but I like to party
T-t-touch, but I got nobody
Here on my own
I wanna f-woop, woop woop, but I'm broken hearted
Cr-cr-cry since the day we parted
T-t-touch, but I got nobody
So I do it solo


It's solo, solo everybody
It's solo, e-e-e-everybody
It's solo, solo everybody
(I do it solo)
It's solo, solo everybody
It's solo, e-e-e-everybody
It's solo, solo everybody
(I do it solo)


Every single night I lose it
I can't even hear the music
Without you
(it's solo, solo everybody)
Oh yeah, yeah, yeah
Try to stop myself from calling
But I really wanna know if you're with
Someone new
(it's solo, solo, everybody)


Since you've been gone
I've been dancing on my own
There's boys up in my zone
But they can't turn me on (Can't turn me on)
'Cause baby, you're the only one I'm coming for
I can't take no more, no more, no more


I wanna f-woop, woop woop, but I'm broken hearted
Cr-cr-cry, but I like to party
T-t-touch, but I got nobody
Here on my own
I wanna f-woop, woop woop, but I'm broken hearted (Oh)
Cr-cr-cry since the day we parted (Oh)
T-t-touch, but I got nobody
So I do it solo


It's solo, solo everybody
It's  solo, e-e-e-everybody
It's  solo, solo everybody
(I do it solo)
It's  solo, solo everybody
It's solo, e-e-e-everybody
It's solo, solo everybody
(I do it solo)


Can't do it solo


I wanna f-woop, woop woop, but I'm broken hearted
Cr-cr-cry, but I like to party
T-t-touch, but I got nobody
Here on my own (Here on my own)
I wanna f-woop, woop woop, but I'm broken hearted (Oh)
Cr-cr-cry since the day we parted (Oh)
T-t-touch but I got nobody
So I do it solo


It's solo, solo everybody
It's solo, e-e-e-everybody
It's solo, solo everybody
(I do it solo)
It's solo, solo everybody
It's solo, e-e-e-everybody
It's solo, solo everybody
(I do it solo)


So I do it solo",2018
87,60,Clean Bandit & Jess Glynne,Rather Be,"
We're a thousand miles from comfort
We have travelled land and sea
But as long as you are with me
There's no place I'd rather be
I would wait forever
Exulted in the scene
As long as I am with you
My heart continues to beat


With every step we take, Kyoto to The Bay
Strollin' so casually
We're different and the same, gave you another name
Switch up the batteries


If you gave me a chance I would take it
It's a shot in the dark, but I'll make it
Know with all of your heart, you can't shake me
When I am with you, there's no place I'd rather be
N-n-n-no, no, no, no place I rather be
N-n-n-no, no, no, no place I rather be
N-n-n-no, no, no, no place I rather be
Ooooh


We staked out on a mission to find our inner peace
Make it everlasting so nothing's incomplete
It's easy bein' with you, sacred simplicity
As long as we're together, there's no place I'd rather be


With every step we take, Kyoto to The Bay
Strollin' so casually
We're different and the same, gave you another name
Switch up the batteries


If you gave me a chance I would take it
It's a shot in the dark, but I'll make it
Know with all of your heart, you can't shake me
When I am with you, there's no place I'd rather be
N-n-n-no, no, no, no place I rather be
N-n-n-no, no, no, no place I rather be
N-n-n-no, no, no, no place I rather be
When I am with you, there's no place I'd rather be


Hmmmmmmmmmm, hoooooooooo
Be, be, be, be, be, be, be, be, be
Yeah-e-yeah-e-yeah-e-yeah-e-yeah, yeah, yeah


If you gave me a chance I would take it
It's a shot in the dark, but I'll make it
Know with all of your heart, you can't shake me
When I am with you, there's no place I'd rather be
N-n-n-no, no, no, no place I rather be
N-n-n-no, no, no, no place I rather be
N-n-n-no, no, no, no place I rather be
When I am with you, there's no place I'd rather be",2014
88,61,Clean Bandit & Zara Larsson,Symphony,"
I’ve been hearin' symphonies
Before, all I heard was silence
A rhapsody for you and me
And every melody is timeless
Life was stringin' me along
Then you came and you cut me loose
Was solo, singin' on my own
Now I can’t find the key without you


And now your song is on repeat
And I’m dancin' on to your heartbeat
And when you’re gone, I feel incomplete
So, if you want the truth


I just wanna be part of your symphony
Will you hold me tight and not let go?
Symphony
Like a love song on the radio
Will you hold me tight and not let go?


I’m sorry if it’s all too much
Every day you’re here, I’m healin'
And I was runnin' outta luck
I never thought I’d find this feelin'
'Cause I’ve been hearin' symphonies
Before all I heard was silence
A rhapsody for you and me (A rhapsody for you and me)
And every melody is timeless


And now your song is on repeat
And I’m dancin' on to your heartbeat
And when you’re gone, I feel incomplete
So, if you want the truth


I just wanna be part of your symphony
Will you hold me tight and not let go?
Symphony
Like a love song on the radio
Will you hold me tight and not let go?


Ah, ah, ah, ah-ah-ah, ah, ah, ah
Ah, ah, ah, ah-ah-ah, ah, ah, ah


And now your song is on repeat
And I’m dancin' on, to your heartbeat
And when you’re gone, I feel incomplete
So if you want the truth (Oh)


I just wanna be part of your symphony
Will you hold me tight and not let go?
Symphony
Like a love song on the radio
Symphony
Will you hold me tight and not let go?
Symphony
Like a love song on the radio
Will you hold me tight and not let go?",2017
89,62,"Clean Bandit, Sean Paul & Anne-Marie",Rockabye,"
Call it love and devotion
Call it a mom's adoration, foundation
A special bond of creation, hah
For all the single moms out there
Going through frustration
Clean Bandit, Sean-da-Paul, Anne-Marie
Sing, make them hear


She works at nights, by the water
She's gone astray, so far away
From her father's daughter
She just wants a life for her baby
All on her own, no one will come
She's got to save him (Daily struggle)


She tells him, ""Oh, love, no one's ever gonna hurt you, love.""
""I'm gonna give you all of my love.""
""Nobody matters like you.""
(Stay up there, stay up there!)
She tells him, ""Your life ain't gon' be nothing like my life."" (Straight!)
""You're gonna grow and have a good life.""
""I'm gonna do what I've got to do.""
(Stay up there, stay up there!)


So, rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Somebody's got you
Rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Ah, rockabye, no


Rockabye, rocka-rocka-rocka-bye
(Rockabye, yeah, yeah)
Rockabye, rocka-rocka-rocka-bye


Single mum, how're you doing out there?
Facing the hard life, without no fear (Yeah!)
Just so you know that you really care
'Cause any obstacle come, you're well prepared (Oh, no!)
And no, mama, you never shed tear
'Cause you have to shed things year after year (Na, na, na, na)
And you give the yout love beyond compare (Yeah!)
You find his school fee and the bus fare (Yeah!)
Mh, all when di pops disappear
Inna rum bar, can't find him nowhere
Steadily your workflow, heavily you know
So your non-stop, no time, no time for ya dear


Now she got a six-year-old
Trying to keep him warm
Trying to keep out the cold
When he looks in her eyes
He don't know he is safe


When she says, ""Oh, love, no one's ever gonna hurt you, love.""
""I'm gonna give you all of my love.""
""Nobody matters like you.""


So, rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Somebody's got you
Rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
(Badda-bang-bang-bang, alright then)
Ah, rockabye, no


Rockabye, rocka-rocka-rocka-bye
(Rockabye, yeah, yeah)
Rockabye, rocka-rocka-rocka-bye
Rockabye, don't bother cry
Lift up your head, lift it up to the sky, yo
Rockabye, don't bother cry
Angels surround you, just dry your eye


Now she got a six-year-old
Trying to keep him warm
Trying to keep out the cold
When he looks in her eyes
He don't know he is safe when she says


She tells him, ""Oh, love, no one's ever gonna hurt you, love.""
""I'm gonna give you all of my love.""
""Nobody matters like you.""
(Stay up there, stay up there!)
She tells him, ""Your life ain't gon' be nothing like my life."" (Straight!)
""You're gonna grow and have a good life.""
""I'm gonna do what I got to do."", yeah


So, rockabye, baby, rockabye
(Rockabye, rocka-rocka-rocka-bye)
I'm gonna rock you
Rockabye, baby, don't you cry
(Rockabye, rocka-rocka-rocka-bye)
Somebody's got you
Rockabye, baby, rockabye
(Rockabye-rocka-rocka-rocka-bye)
I'm gonna rock you
Rockabye, baby, don't you cry
(Badda-bang-bang-bang, alright then)
Ah, rockabye


Rockabye, don't bother cry
Lift up your head, lift it up to the sky (Ah, Rockabye!)
Rockabye, don't bother cry (Yeah!)
Angels surround you, just dry your eye (Yeah, ah, rockabye!)
Rockabye, don't bother cry (No!)
Lift up your head, lift it up to the sky (Oh, Rockabye!)
Rockabye, don't bother cry
Angels surround you, just dry your eye",2017
90,63,Coldplay,A Sky Full Of Stars,"
'Cause you're a sky, 'cause you're a sky full of stars
I'm gonna give you my heart
'Cause you're a sky, 'cause you're a sky full of stars
'Cause you light up the path


I don't care, go on and tear me apart
I don't care if you do, ooh-ooh, ooh
'Cause in a sky, 'cause in a sky full of stars
I think I saw you


'Cause you're a sky, 'cause you're a sky full of stars
I want to die in your arms, oh, oh, oh
'Cause you get lighter the more it gets dark
I'm gonna give you my heart, oh


I don't care, go on and tear me apart
I don't care if you do, ooh-ooh, ooh
'Cause in a sky, 'cause in a sky full of stars
I think I see you
I think I see you


'Cause you're a sky, you're a sky full of stars
Such a heavenly view
You're such a heavenly view
(Yeah, yeah, yeah, ooh)",2014
91,63,Coldplay,Magic,"
Call it magic, call it true
I call it magic when I'm with you
And I just got broken, broken into two
Still I call it magic, when I'm next to you


And I don't, And I don't, And I don't, And I don't
No I don't, it's true
I don't, No, I don't, No, I don't, No, I don't
Want anybody else but you


And I don't, And I don't, And I don't, And I don't
No I don't, it's true
I don't, No, I don't, No, I don't, No, I don't
Want anybody else but you


Call it magic, cut me into two
And with all your magic, I disappear from view
And I can't get over, can't get over you
Still, I call it magic, such a precious jewel


And I don't, And I don't, And I don't, And I don't
No I don't, it's true
I don't, No, I don't, No, I don't, No, I don't
Want anybody else but you


And I don't, And I don't, And I don't, And I don't
No I don't, it's true
I don't, No, I don't, No, I don't, No, I don't
Want anybody else but you


Wanna fall, fall so far
I wanna fall, fall so hard
And I call it magic
And I call it true
I call it magic


And if you were to ask me
After all that we've been through
Still believe in magic?
Yes, I do
Yes, I do
Yes, I do
Yes, I do
Of course I do",2014
92,63,Coldplay,Hymn For The Weekend,"
And said drink from me, drink from me
(Oh-ah-oh-ah)
That we shoot across the sky
Symphony
That we shoot across the sky
Pour on a...
Drink from me, drink from me
(Oh-ah-oh-ah)
That we shoot across the sky
Symphony
(So high, so high)
That we shoot across the sky


Oh, angel sent from up above
You know you make my world light up
When I was down, when I was hurt
You came to lift me up
Life is a drink and love's a drug
Oh now I think I must be miles up
When I was a river dried up
You came to rain a flood


You said drink from me, drink from me
When I was so thirsty
Poured on a symphony
Now I just can't get enough
Put your wings on me, wings on me
When I was so heavy
Poured on symphony
When I'm low, low, low, low


I-Oh-I-Oh-I
Got me feeling drunk and high
So high, so high
Oh-I-Oh-I-Oh-I
Now I’m feeling drunk and high
So high, so high
(Woo)
(Woo-ooo-ooo-woo)


Oh, angel sent from up above
I feel you coursing through my blood
Life is a drink and your love's about
To make the stars come out


Put your wings on me, wings on me
When I was so heavy
Poured on symphony
When I'm low, low, low, low


I-Oh-I-Oh-I
Got me feeling drunk and high
So high, so high
Oh-I-Oh-I-Oh-I
I’m feeling drunk and high
So high, so high


I-Oh-I-Oh-I
La, la, la, la, la, la, la
So high, so high
I-Oh-I-Oh-I
Now I'm feeling drunk and high
So high, so high


That I shoot across the sky
That I shoot across the...
That I shoot across the sky
Let me shoot across the... (Let me shoot)
Let me shoot across the sky
Let me shoot across the...
Let me shoot across the sky
That we shoot across the...",2016
93,63,Coldplay,Adventure Of A Lifetime,"





Turn your magic on
Umi she'd say
Everything you want's a dream away
And we are legends, every day
That's what she told me


Turn your magic on, to me she'd say
Everything you want's a dream away
Under this pressure, under this weight
We are diamonds


Now I feel my heart beating
I feel my heart underneath my skin
And I feel my heart beating
Oh, you make me feel
Like I'm alive again
Alive again
Oh, you make me feel
Like I'm alive again


Said I can't go on, not in this way
I'm a dream that died by light of day
Gonna hold up half the sky and say
Only I own me


Now I feel my heart beating
I feel my heart underneath my skin
Oh, I can feel my heart beating
Cause you make me feel
Like I'm alive again
Alive again
Oh, you make me feel
Like I'm alive again


Turn your magic on, Umi she'd say
Everything you want's a dream away
Under this pressure, under this weight
We are diamonds taking shape
We are diamonds taking shape
(Woo, woo)


If we've only got this life
This adventure, oh then I
And if we've only got this life
You'll get me through
And if we've only got this life
In this adventure, oh then I
Want to share it with you
With you, with you
Yeah I do


(Woo hoo, woo hoo)
(Woo hoo, woo hoo)
(Woo hoo, woo hoo)
(Woo hoo, woo hoo)
(Woo hoo, woo hoo)
(Woo hoo, woo hoo)",2016
94,64,DJ Khaled & Drake,For Free,"
Would you fuck me for free?
Another one (Another one, another one)
We the Best Music! (Music, music) Major Key! (Major Key)
DJ Khaled!


Yeah, I go on and on
Can't understand how I last so long
I must have the superpowers
Last 223 thousand hours
And it's cause I'm off of CC
And I'm off the Hennessy
And like your boy from Compton said
You know this dick ain't free!
I got girls that I shoulda made pay for it
Got girls that I shoulda made wait for it
I got girls that'll cancel a flight back home
Stay another day for it
You got attitude on na-na
And your pussy on agua
And your stomach on flat flat
And your ass on what's that?
And, yeah, I need it all right now
Last year I had drama, girl not right now
I was never gon' chat what we talkin' about
You the only one I know could fit it all in her... man


I always wonder if you ask yourself (Ask yourself)
Is it just me? (Just me)
Is it just me?
Or is this sex so good I shouldn't have to fuck for free?
Oh, is it just me?
Yeah, is it just me?
Or is this sex so good I shouldn't have to...


Fuck for free
I know you workin' day and night to get a college degree
Bet nobody that you've been with even know you a freak, right?
You know you only do that with me, right?
Yeah, double checkin' on you
You know I never put the pressure on you
You know that you make your own mind up
You knew what it was when you signed up
Now you gotta run it up
I be out of words, tryna sum it up
Girl you throw it back like one love
Even let me splash on the tour bus
Yeah I talk to her but she don't do enough
Even though you in the hood I'm still pullin' up
Dip, dip, straight to your doorstep
This the real thing, can you feel the force yet


I always wonder if you ask yourself (Ask yourself)
Is it just me? (Just me)
Is it just me?
Or is this sex so good I shouldn't have to fuck for free?
Oh, is it just me?
Yeah, is it just me?
Is this sex so good I shouldn't have to...
Would you fuck me for free?


Another one (Another one)
They don't want me to have another anthem
So I made sure I got another anthem (Anthem)
It's We The Best OVO
Summers ours
It always has been
Don't ever play yourself
One time for Future the Prince
One time for 40
One time for Drake
Yeah, another one
Bless up",2016
95,65,"DJ Khaled, Justin Bieber, Quavo, Chance The Rapper & Lil' Wayne",I'm The One,"
We the Best Music
Another one!
DJ Khaled


Yeah, you're lookin' at the truth
The money never lie, no
I'm the one, yeah, I'm the one
Early mornin' in the Dawn
Know you wanna ride now (let's ride, let's ride!)
I'm the one, yeah, I'm the one, yeah
And you sick of all those other imitators
Don't let the only real one intimidate ya
See you watchin', don't run outta time now
I'm the one, yeah


Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Yeah, yeah!


Quavo! I'm the one that hit that same spot (hit it)
She the one that bring them rain drops (rain drops)
We go back, remember criss-cross and hopscotch? (hopscotch)
You the one that hold me down when the block's hot (hot)
I make your dreams come true when you wake up (dream)
And your look's just the same without no make-up
Had to pull up on your mama, see what you're made of (mama)
Ain't gotta worry 'bout 'em commas 'cause my cake up
You can run inside my life from that fame bus (skrt)
'Cause I promise, when we step out you'll be famous (yeah)
Modern day Bonnie and Clyde what they named us (why?)
'Cause when we pull up — brt-brt! — all angles


Yeah, you're lookin' at the truth
The money never lie, no
I'm the one, yeah, I'm the one
Early mornin' in the Dawn
Know you wanna ride now (let's ride, let's ride!)
I'm the one, yeah, I'm the one, yeah
And you sick of all those other imitators
Don't let the only real one intimidate ya
See you watchin', don't run outta time now
I'm the one, yeah


Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Okay though


Uh, she beat her face up with that new Chanel
She like the price, she see the ice, it make her coochie melt
When I met her in the club I asked her who she felt
Then she went and put that booty on that Gucci belt
We don't got no label
She say she want bottles, she ain't got no table
She don't got no bed frame, she don't got no tables
We just watchin' Netflix, she ain't got no cable, okay though
Plug, plug, plug, I'm the plug for her
She want a nigga that pull her hair and hold the door for her
Baby, that's only me, bitch, it okay with me
Baby, okay, okay though


Yeah, you're lookin' at the truth
The money never lie, no
I'm the one, yeah, I'm the one
Early mornin' in the Dawn
Know you wanna ride now (let's ride, let's ride!)
I'm the one, yeah, I'm the one, yeah
And you sick of all those other imitators
Don't let the only real one intimidate ya
See you watchin', don't run outta time now
I'm the one, yeah


Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one


Lookin' for the one?
Well, bitch, you're lookin' at the one
I'm the best yet, and yet my best is yet to come
'Cause I've been lookin' for somebody
Not just any fuckin' body
Don't make me catch a body
That's for any and everybody
Oh my God, she hit me up all day, get no response
Bitch, you blow my high
That's like turnin' gold to bronze, roll my eyes
And when she on the Molly she a zombie
She think we Clyde and Bonnie
But it's more like Whitney and Bobby
God, forgive me! Tunechi F finessin', I'm a legend
Straight up out the Crescent
Fly your bae down for the Essence
For the record I knew Khaled when that boy was spinnin' records
Mula Gang, winnin' record
I'm just flexin' on my exes, oh God


Yeah, you're lookin' at the truth
The money never lie, no
I'm the one, yeah, I'm the one
Early mornin' in the Dawn
Know you wanna ride now (let's ride, let's ride!)
I'm the one, yeah, I'm the one, yeah
And you sick of all those other imitators
Don't let the only real one intimidate ya
See you watchin', don't run outta time now
I'm the one, yeah


Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one


(Another one)
Don't you know, girl? Don't you know, girl?
I am the one for you (I'm the one)
Yeah, I'm the one
Don't you know, girl? Don't you know, girl?
I am the one for you (I'm the one)
Yeah, I'm the one
Don't you know, girl? Don't you know, girl?
I am the one for you (I'm the one)
Yeah, I'm the one
Don't you know, girl? Don't you know, girl?
I am the one for you (I'm the one)
Yeah, I'm the one",2017
96,65,"DJ Khaled, Justin Bieber, Quavo, Chance The Rapper & Lil' Wayne",No Brainer,"
We the Best Music!
Another one!
DJ Khaled!


You stick out of the crowd, baby, it's a no-brainer
It ain't that hard to choose
Him or me, be for real, baby, it's a no-brainer
You got your mind unloose
Go hard and watch the sun rise
One night'll change your whole life
Off top, drop-top, baby it's a no-brainer
Put 'em up if you with me
Yeah, yeah-eah, yeah, yeah-eah-eah
In the middle, woah
Woah-woah-oah, oh, oh-oh, ooh
Put 'em high
Put 'em high
Yeah-eah-eah, yeah, yeah-eah-eah
Both arms, yeah
Woah-woah-oah, oh, oh-oh, ooh
Put 'em high


Quavo!
Mama told you don't talk to strangers (Mama, mama, mama!)
But when you're ridin' in the drop, you can't explain it (Skrrt, skrrt, skrrt-skrrt)
What you been waitin' on this whole time? (Yeah)
I blow the brains outta your mind (Ooh)
And I ain't talkin' 'bout physically (No)
I'm talkin' 'bout mentally (Talkin' 'bout mentally)
She lookin', she look like she nasty (She lookin')
She lookin', she look like she classy (She lookin')
She lookin', just look at her dancin' (Look at her)
She lookin', I took her to the mansion (Yeah, yeah)


You stick out of the crowd, baby, it's a no-brainer
It ain't that hard to choose
Him or me, be for real, baby, it's a no-brainer
You got your mind unloose
Go hard and watch the sun rise
One night'll change your whole life
Off top, drop-top, baby it's a no-brainer
Put 'em up if you with me
Yeah, yeah-eah, yeah, yeah-eah-eah
In the middle, woah
Woah-woah-oah, oh, oh-oh, ooh
Put 'em high
Put 'em high
Yeah-eah-eah, yeah, yeah-eah-eah
Both arms, yeah
Woah-woah-oah, oh, oh-oh, ooh
Put 'em high


Don't look rich, I ain't got no chain (Huh)
Not on the list, I ain't got no name
But we in this bitch, bitch, I'm not no lame
And I keep it Ben Franklin, I'm not gon' change
Lot of these hoes is messy (Messy)
I just want you and your bestie
Y'all don't gotta answer for whenever you text me
It's multiple choice and they all wanna test me
She ch-ch-ch-ch-choosin' the squad
She tryna choose between me, Justin, Qua' and Asahd
She told me that she love that I make music for God
I told her I would love to see that ***** applaud


You stick out of the crowd, baby, it's a no-brainer
It ain't that hard to choose
Him or me, be for real, baby, it's a no-brainer
You got your mind unloose
Go hard and watch the sun rise
One night'll change your whole life
Off top, drop-top, baby it's a no-brainer
Put 'em up if you with me
Yeah, yeah-eah, yeah, yeah-eah-eah
In the middle, woah
Woah-woah-oah, oh, oh-oh, ooh
Put 'em high
Put 'em high
Yeah-eah-eah, yeah, yeah-eah-eah
Both arms, yeah
Woah-woah-oah, oh, oh-oh, ooh
Put 'em high


Walked down, had me sittin' up
Demanded my attention, had to give it up
Look like somebody designed you
Drop-dead gorgeous, you make me wanna live it up
Your presence is critical
Movin' my soul, yeah, you're spiritual
They hate it when you notice me
Like everybody else invisible (Ooh)
Breakin' all the rules (Oh-oh)
So above the law (So above the law)
I'll be your excuse (Damn right)
Uh, and you won’t go wrong, no


You stick out of the crowd, baby, it's a no-brainer (No-brainer)
It ain't that hard to choose
Him or me, be for real, baby, it's a no-brainer
(No-brainer)
You got your mind unloose
Go hard and watch the sun rise (Rise)
One night'll change your whole life
Off top, drop-top, baby it's a no-brainer (Oh, no)
Put 'em up if you with me
Yeah, yeah-eah, yeah, yeah-eah-eah
In the middle, oh (Yeah, in the middle)
Woah-woah-oah, oh, oh-oh, ooh
Put 'em high (Put 'em high)
Put 'em high
Yeah-eah-eah, yeah, yeah-eah-eah
Both arms, yeah (Both sides in here)
Woah-woah-oah, oh, oh-oh, ooh
Put 'em high (Put 'em high)


It's We The Best Music
Way high
It's Father of Asahd
Another one",2018
