,0,1,2
24,Fall Out Boy,Uma Thurman,"[Intro]
I can move mountains
I can work a miracle, work a miracle
Oh, oh, keep you like an oath
May nothing but death do us part

[Chorus]
She wants to dance like Uma Thurman
Bury me 'til I confess
She wants to dance like Uma Thurman
And I can't get you out of my head

[Verse 1]
The stench, the stench of summer sex
And CK Eternity, oh hell yes
Divide me down to the smallest I can be
Put your, put your v-v-v-venom in me

[Pre-Chorus]
I can move mountains
I can work a miracle, work a miracle
Oh, oh, keep you like an oath
May nothing but death do us part

[Chorus]
She wants to dance like Uma Thurman
Bury me 'til I confess
She wants to dance like Uma Thurman
And I can't get you out of my head

[Verse 2]
The blood, the blood, the blood of the lamb
Is worth two lions but here I am
And I slept in last night's clothes and tomorrow's dreams
But they're not quite what they seem

[Pre-Chorus]
I can move mountains
I can work a miracle, work a miracle
Oh, oh, keep you like an oath
May nothing but death do us part

[Bridge]
You'll find your way
And may death find you alive
Take me down the line
In Gem City we turn the tide
You'll find your way
And may death find you alive
Take me down the line
In Gem City we turn the tide

[Chorus]
She wants to dance like Uma Thurman
Bury me 'til I confess
She wants to dance like Uma Thurman
And I can't get you out of my head

[Outro]
I can move mountains
I can work a miracle, work a miracle
Oh, oh, keep you like an oath
May nothing but death do us apart
I can move mountains
I can work a miracle, work a miracle
Oh, oh, keep you like an oath
May nothing but death do us part"
25,Sido & Andreas Bourani,Astronaut,"[Intro: Andreas Bourani]
Ich heb’ ab, nichts hält mich am Boden
Alles blass und grau
Bin zu lange nicht geflogen
Wie ein Astronaut

[Part 1: Sido]
Wir laufen rum mit der Schnauze voll, die Köpfe sind leer
Sitzen im Dreck bis zum Hals, haben Löcher im Herz
Ertränken Sorgen und Probleme in ’nem Becher voll Wein
Mit einem Lächeln aus Stein, uns fällt nichts Besseres ein
Wir hab’n morgen schon vergessen, wer wir gestern noch war’n
Hab’n uns alle vollgefressen und vergessen zu zahl’n
Lassen alles steh’n und liegen für mehr Asche und Staub
Wir woll’n alle, dass es passt, doch wir passen nicht auf
Die Stimme der Vernunft ist längst verstummt, wir hör’n sie nicht mehr
Denn manchmal hab’n wir das Gefühl, wir gehör’n hier nicht her
Es gibt kein Vor und kein Zurück mehr, nur noch Unten und Oben
Einer von Hundert Millionen, ein kleiner Punkt überm Boden, ich heb’ ab

[Hook: Andreas Bourani]
Ich heb’ ab, nichts hält mich am Boden
Alles blass und grau
Bin zu lange nicht geflogen
Wie ein Astronaut
Ich seh’ die Welt von oben
Der Rest verblasst im Blau
Ich hab’ Zeit und Raum verloren hier oben
Wie ein Astronaut

[Part 2: Sido]
Im Dunkeln der Nacht
Hier oben ist alles so friedlich, doch da unten geht’s ab
Wir alle tragen dazu bei, doch brechen unter der Last
Wir hoffen auf Gott, doch hab’n das Wunder verpasst
Wir bauen immer höher, bis es ins Unendliche geht
Fast acht Milliarden Menschen, doch die Menschlichkeit fehlt
Von hier oben macht das alles plötzlich gar nichts mehr aus
Von hier sieht man keine Grenzen und die Farbe der Haut
Dieser ganze Lärm um nichts verstummt, ich hör’ euch nicht mehr
Langsam hab ich das Gefühl, ich gehöre hierher
Es gibt kein Vor und kein Zurück mehr, nur noch Unten und Oben
Einer von Hundert Millionen, ein kleiner Punkt überm Boden, ich heb’ ab

[Hook: Andreas Bourani]
Ich heb’ ab, nichts hält mich am Boden
Alles blass und grau
Bin zu lange nicht geflogen
Wie ein Astronaut
Ich seh’ die Welt von oben
Der Rest verblasst im Blau
Ich hab’ Zeit und Raum verloren hier oben
Wie ein Astronaut

[Bridge: Andreas Bourani]
Und beim Anblick dieser Schönheit
Fällt mir alles wieder ein
Sind wir nicht eigentlich am Leben
Um zu lieben, um zu sein?
Hier würd ich gern für immer bleiben
Doch ich bin ein Wimpernschlag
Der nach Fünf Milliarden Jahren
Nicht viel mehr zu sein vermag

[Hook: Andreas Bourani]
Ich heb’ ab, nichts hält mich am Boden
Alles blass und grau
Bin zu lange nicht geflogen
Wie ein Astronaut
Ich seh’ die Welt von oben
Der Rest verblasst im Blau
Ich hab’ Zeit und Raum verloren hier oben
Wie ein Astronaut
Ich heb’ ab, nichts hält mich am Boden
Alles blass und grau
Bin zu lange nicht geflogen
Wie ein Astronaut
Ich seh’ die Welt von oben
Der Rest verblasst im Blau
Ich hab’ Zeit und Raum verloren hier oben
Wie ein Astronaut
Ich heb’ ab, nichts hält mich am Boden
Alles blass und grau
Bin zu lange nicht geflogen
Wie ein Astronaut
Ich seh’ die Welt von oben
Der Rest verblasst im Blau
Ich hab’ Zeit und Raum verloren hier oben
Wie ein Astronaut"
26,Zedd & Selena Gomez,I Want You To Know,"[Click here to read how Zedd produced ""I Want You To Know""]

[Chorus: Selena Gomez]
I want you to know that it's our time
You and me bleed the same light
I want you to know that I'm all yours
You and me run the same course

[Verse 1: Selena Gomez]
I'm slippin' down a chain reaction
And here I go, here I go, here I go, go
And once again, I'm yours in fractions
It takes me down, pulls me down, pulls me down low

[Pre-Chorus: Selena Gomez]
Honey, it's rainin' tonight
But storms always have an eye, have an eye
Tell me your cover tonight
Or tell me lies, tell me lies, lies, lies...

[Chorus: Selena Gomez]
I want you to know that it's our time
You and me bleed the same light
I want you to know that I'm all yours
You and me, we're the same force
I want you to know that it's our time
You and me bleed the same light
I want you to know that I'm all yours
You and me run the same course

[Interlude: Selena Gomez]
(I want you)
(I want you)
I want you to know that it's our time
You and me bleed the same light

[Verse 2: Selena Gomez]
I'm better under your reflection
But did you know, did you know, did you know, know
That's anybody else that's met ya
It's all the same, all the same, all the same glow

[Pre-Chorus: Selena Gomez]
Honey, it's rainin' tonight
But storms always have an eye, have an eye
Tell me your cover tonight
Or tell me lies, tell me lies, lies, lies...

[Chorus: Selena Gomez]
I want you to know that it's our time
You and me bleed the same light
I want you to know that I'm all yours
You and me, we're the same force
I want you to know that it's our time
You and me bleed the same light
I want you to know that I'm all yours
You and me run the same course

[Drop: Selena Gomez]
(Course, course, course, course)
(Course, course, course, course)
You and me run the same course
(I want you)
(I want you)

[Chorus: Selena Gomez]
I want you to know that it's our time
You and me bleed the same light
I want you to know that I'm all yours
You and me run the same course"
27,Little Big Town,Girl Crush,"[Verse 1]
I gotta girl crush, hate to admit it but
I gotta heart rush, ain’t slowin’ down
I got it real bad, want everything she has
That smile and the midnight laugh she’s givin’ you now

[Chorus]
I wanna taste her lips, yeah, ‘cause they taste like you
I wanna drown myself in a bottle of her perfume
I want her long blonde hair, I want her magic touch
Yeah, ‘cause maybe then, you’d want me just as much
I gotta girl crush, I gotta girl crush

[Verse 2]
I don’t get no sleep, I don’t get no peace
Thinkin’ about her under your bed sheets
The way that she’s whisperin’, the way that she’s pullin’ you in
Lord knows I’ve tried, I can’t get her off my mind

[Chorus]
I wanna taste her lips, yeah, ‘cause they taste like you
I wanna drown myself in a bottle of her perfume
I want her long blonde hair, I want her magic touch
Yeah, ‘cause maybe then, you’d want me just as much
I gotta girl crush, I gotta girl crush

I gotta girl crush, hate to admit it but
I gotta heart rush, it ain’t slowin’ down"
28,Big Sean & E-40,I Don't F**k With You,"Lauv - Chasing Fire
The Weeknd - Call Out My Name
Hayley Kiyoko - What I Need feat. Kehlani
Cardi B - Be Careful
Rich The Kid - Too Gone feat. Khalid
The Weeknd - Hurt You feat. Gesaffelstein
Tinashe - Me So Bad feat. Ty Dolla $ign & French Montana
A$AP Rocky - Bad Company feat. BlocBoy JB
Thirty Seconds To Mars - Rescue Me
Ty Dolla $ign - Pineapple feat. Gucci Mane & Quavo
Michl - Better With You
Snakehips - For the F^_^k Of It feat. Jeremih & Aminé
CHVRCHES - Never Say Die
The Weeknd - I Was Never There feat. Gesaffelstein
Sam Smith - Pray feat. Logic
Denny White - Carried Away
FRENSHIP - GOODMORNING, Goodbye
Mike WiLL Made-It, Rae Sremmurd & Big Sean - Aries (YuGo) Part 2 feat. Quavo & Pharrell
Lord Huron - When the Night is Over
Junge Junge - Catch 22 feat. Valentine
Ne-Yo, Bebe Rexha & Stefflon Don - Push Back
Mike Shinoda - Crossing A Line
Digital Farm Animals, Shaun Frank & Dragonette - Tokyo Nights
Kacey Musgraves - Velvet Elvis
Grace VanderWaal - Clearly
DJDS - No Pain feat. Khalid, Charlie Wilson & Charlotte Day Wilson
Tyler, The Creator - OKRA
Sigrid - I Don't Want To Know
Charlie Puth - Change feat. James Taylor
Zak Abel - Love Song
Gnash - the broken hearts club
James TW - Say Love
Bantu - Just a Little feat. Shungudzo
Billie Eilish - bitches broken hearts
James Bay - Us
Haux - Arrows
Preme - Hot Boy feat. Lil Wayne
Nina Nesbitt - Somebody Special (R3hab Remix)
Thutmose - Ride With Me
A Boogie Wit da Hoodie - Nonchalant feat. Alkaline
Anitta - Indecente
Tori Kelly - Help Us To Love feat. The HamilTones
MØ - Nostalgia
X Ambassadors - Don't Stay (Recorded At Spotify Studios NYC)
Lady Gaga - Your Song
DJ Esco - Code of Honor feat. Future & ScHoolboy Q
Smokepurpp & Murda Beatz - Do Not Disturb feat. Lil Yachty & Offset
Yoshi Flower - Just On Drugs
Daryl Hall & John Oates & Train - Philly Forget Me Not
THEY. - Dante's Creek (deantrbl Remix)
N.O.R.E. - Uno Más (Remix) feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez
Au/Ra & CamelPhat - Panic Room
Warhola - Promise
SAINt JHN - GOD BLESS THE RATCHETS
Jessie Reyez - Figures, a Reprise feat. Daniel Caesar
Reo Cragun - In Too Deep
OK MAYDAY - Good
London Richards - Ends
Harry Hudson - Love, Dad
Cassadee Pope - Take You Home
Bipolar Sunshine - Pedestal
Harrison Brome - Looking at You
Jason Aldean - High Noon Neon
Lizzo - Fitness
Lil Xan - The Man feat. $teven Cannon
TOMI - What Kind Of Love
Amen Dunes - Dracula
Launder - Keep You Close feat. Soko
Her - Wanna Be You
Bhad Bhabie - Gucci Flip Flops feat. Lil Yachty
Manchester Orchestra - No Hard Feelings
Frankie Cosmos - Apathy
Unknown Mortal Orchestra - Everyone Acts Crazy Nowadays
Ashley McBryde - Home Sweet Highway
Karol G & Shaggy - Tu Pum Pum feat. El Capitaan 7 Sekuence
Ofenbach vs. Lack Of Afro - PARTY feat. Wax and Herbal T
Natalie Prass - Sisters
R3HAB & Skytech - Hyperspace
Trill Sammy - Feel Better feat. Slim Jxmmi
The Vaccines - Out On the Street
Tiësto & MOTi - Break The House Down
The Voidz - Pyramid of Bones"
29,Jess Glynne,Hold My Hand,"[Verse 1]
Standing in a crowded room, and I can't see your face
Put your arms around me, tell me everything's OK
In my mind, I'm running round a cold and empty space
Just put your arms around me, tell me everything's OK

[Pre-Chorus]
Break my bones but you won't see me fall, oh
The rising tide will rise against them all, oh

[Chorus]
Darling, hold my hand
Oh, won't you hold my hand?
Cause I don't wanna walk on my own anymore
Won't you understand? Cause I don't wanna walk alone
I'm ready for this, there's no denying
I'm ready for this, you stop me falling
I'm ready for this, I need you all in
I'm ready for this, so darling, hold my hand

[Verse 2]
Soul is like a melting pot when you're not next to me
Tell me that you've got me and you're never gonna leave
Tryna find a moment where I can find release
Please tell me that you've got me and you're never gonna leave

[Pre-Chorus]
Break my bones but you won't see me fall, oh
The rising tide will rise against them all, oh

[Chorus]
Darling, hold my hand
Oh, won't you hold my hand?
Cause I don't wanna walk on my own anymore
Won't you understand? Cause I don't wanna walk alone
I'm ready for this, there's no denying
I'm ready for this, you stop me falling
I'm ready for this, I need you all in
I'm ready for this, so darling, hold my hand

[Bridge]
Don't wanna know
That feeling when I'm all alone
So please don't make me wait, cause I don't wanna break
No, I don't wanna fall
When you're next to me
Can tell I'm not afraid to be
That you don't make me wait, and never let me break
You never let me fall

[Chorus]
Darling, hold my hand
Oh, won't you hold my hand?
Cause I don't wanna walk on my own anymore
Won't you understand? Cause I don't wanna walk alone
I'm ready for this, there's no denying
I'm ready for this, you stop me falling
I'm ready for this, I need you all in
I'm ready for this, so darling, hold my hand"
30,Adam Lambert,Ghost Town,"[Verse 1]
Died last night in my dreams
Walking the streets
Of some old ghost town
I tried to believe
In God and James Dean
But Hollywood sold out
Saw all of the saints
Lock up the gates
I could not enter
Walked into the flames
Called out your name
But there was no answer

[Chorus]
And now I know my heart is a ghost town
My heart is a ghost town
My heart is a ghost town
My heart is a ghost town

[Verse 2]
Died last night in my dreams
All the machines
Had been disconnected
Time was thrown at the wind
And all of my friends
Had been disaffected
Now, I'm searching for trust
In a city of rust
A city of vampires
Tonight, Elvis is dead
And everyone's spread
And love is a satire

[Chorus]
And now I know my heart is a ghost town
My heart is a ghost town
Ooh, my heart is a ghost town
My heart is a ghost town

[Bridge]
There's no one left in the world
I'm gunslingin'
Don't give a fuck if I go
Down, down, down
I got a voice in my head that keeps singing
Oh, my heart is a ghost town

[Outro]
Ooh, my heart is a ghost town
Oh, my heart is a ghost town
(Said, my heart)
My heart is a ghost town
My heart is a ghost town"
31,feder & lyse,Goodbye,"[Intro]
Is someone listening?
Okay

Let me tell you the story
Of that guy

[Verse 1]
First you loved
Then you promised
Was losing control
Crazy nights, intense sex

[Chorus]
Now I’m living
My own life
Got you out of my path
Been wasting
Too much time
Gonna leave you far behind

[Verse 2]
Then you ran away
Are you thinking of me when you fuck her?
Does she know you were supposed to love me
Till you died?
Almost killed me

[Chorus]
Now I’m living
My own life
Got you out of my path
Been wasting
Too much time
Gonna leave you far behind

Now I’m living
My own life
Got you out of my path
Been wasting
Too much time
Gonna leave you far behind
Now I’m living
My own life
Got you out of my mind
Been wasting
Too much time
Gonna leave you far behind

Path"
32,Alessia Cara,Here,"[Written by Alessia Cara & Sebastian Kole]
[Produced by Pop & Oak and Sebastian Kole]

[Intro]
I guess right now you've got the last laugh

[Verse 1]
I'm sorry if I seem uninterested
Or I'm not listenin', or, I'm indifferent
Truly I ain't got no business here
But since my friends are here, I just came to kick it
But really I would rather be at home all by myself
Not in this room
With people who don't even care about my well-being
I don't dance, don't ask, I don't need a boyfriend
So you can, go back, please enjoy your party
I'll be here
Somewhere in the corner
Under clouds of marijuana
With this boy who's hollering
I can hardly hear
Over this music I don't listen to
And I don't wanna get with you
So tell my friends that I'll be over here

[Chorus]
Oh-oh-oh here, oh-oh-oh here
Oh I ask myself, what am I doin' here?
Oh-oh-oh here, oh-oh-oh here
And I can't wait 'til we can break up out of here

[Verse 2]
Excuse me if I seem a little unimpressed with this
An anti-social pessimist, but usually I don't mess with this
And I know you mean only the best
And your intentions aren't to bother me
But honestly I'd rather be
Somewhere with my people
We can kick it and just listen to
Some music with a message, like we usually do
And we'll discuss our big dreams
How we plan to take over the planet
So pardon my manners
I hope you'll understand that I'll be here
Not there in the kitchen
With the girl who's always gossiping about her friends
So tell them I'll be here
Right next to the boy who's throwin' up
Cause he can't take what's in his cup no more
Oh God why am I here?

[Chorus]
Oh-oh-oh here, oh-oh-oh here
Oh I ask myself, what am I doin' here?
Oh-oh-oh here, oh-oh-oh here
And I can't wait 'til we can break up out of here

[Bridge]
Hours later congregatin' next to the refrigerator
Some girl talkin' 'bout her haters, she ain't got none
How did it ever come to this? I shoulda never come to this
So holla at me, I'll be in the car when you're done
I'm stand-offish, don't want what you're offerin'
And I'm done talkin', awfully sad it had to be that way
So tell my people when they're ready that I'm ready
And I'm standin' by the TV with my beanie low
Yo I'll be over here

[Chorus]
Oh-oh-oh here, oh-oh-oh here
Oh I ask myself, what am I doin' here?
Oh-oh-oh here, oh-oh-oh here
And I can't wait 'til we can break up out of here"
33,Sia,Cheap Thrills,"[Verse 1]
Come on, come on, turn the radio on
It's Friday night and I won't be long
Gotta do my hair, put my make up on
It's Friday night and I won't be long

[Pre-Chorus]
'Til I hit the dance floor
Hit the dance floor
I got all I need
No, I ain't got cash
I ain't got cash
But I got you baby

[Chorus]
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
But I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing

[Verse 2]
Come on, come on, turn the radio on
It's Saturday and I won't be long
Gotta paint my nails, put my high heels on
It's Saturday and I won't be long

[Pre-Chorus]
'Til I hit the dance floor
Hit the dance floor
I got all I need
No, I ain't got cash
I ain't got cash
But I got you baby

[Chorus]
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing

[Bridge]
(I love cheap thrills)
(I love cheap thrills)
I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing
Oh, oh

[Chorus]
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing

[Outro]
La, la, la, la, la, la, la
(I love cheap thrills)
La, la, la, la, la, la, la
(I love cheap thrills)
La, la, la, la, la, la, la
(I love cheap thrills)
La, la, la, la, la, la
(I love cheap thrills)"
34,"Drake, WizKid & Kyla",One Dance,"[Intro: Kyla]
Baby, I like your style

[Verse 1: Drake]
Grips on your waist, front way, back way
You know that I don't play
Streets not safe but I never run away
Even when I'm away
Oti, oti
There's never much love when we go OT
I pray to make it back in one piece
I pray, I pray

[Chorus: Drake]
That's why I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

[Refrain: Kyla]
Baby, I like your style

[Verse 2: Drake]
Strength and guidance
All that I'm wishing for my friends
Nobody makes it from my ends
I had to bust up the silence
You know you gotta stick by me
Soon as you see the text, reply me
I don't wanna spend time fighting
We've got no time

[Chorus: Drake]
And that's why I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

[Bridge: Wizkid]
Got a pretty girl and she love me long time
Wine it, wine it, very long time
Oh yeah, very long time
Back up, back up, back up and wine it
Back up, back up and wine it, girl
Back up, back up, back up and wine it
Oh yeah, very long time
Back, up, back up and wine it, girl

[Refrain: Kyla + Wizkid]
Tell me
I need to know, where do you wanna go?
Cause if you're down, I'll take it slow
Make you lose control
Where, where, where
Where, where, where, where
Oh yeah, very long time
Where, where, where
Back, up, back up and wine it, girl
Where, where, where, where
Cause if you're down
Back up, back up and
Cause if you're down
Back up, back up and
Cause if you're down
Back up, back up and

[Chorus: Drake]
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me"
35,Justin Bieber,Love Yourself,"[Produced by Benny Blanco]

[Verse 1]
For all the times that you rained on my parade
And all the clubs you get in using my name
You think you broke my heart, oh girl for goodness sake
You think I'm cryin' on my own, well I ain't

[Refrain]
And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't but, you still hit my phone up
And baby I'll be movin' on
And I think you should be somethin'
I don't wanna hold back
Maybe you should know that

[Pre-Chorus]
My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

[Chorus]
'Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

[Verse 2]
But when you told me that you hated my friends
The only problem was with you and not them
And every time you told me my opinion was wrong
And tried to make me forget where I came from

[Refrain]
And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't but, you still hit my phone up
And baby I'll be movin' on
And I think you should be somethin'
I don't wanna hold back
Maybe you should know that

[Pre-Chorus]
My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

[Chorus]
'Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

[Bridge]
For all the times that you made me feel small
I fell in love, now I feel nothin' at all
I never felt so low and I was vulnerable
Was I a fool to let you break down my walls?

[Chorus]
'Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
'Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself"
36,The Chainsmokers & Daya,Don't Let Me Down,"[Verse 1]
Crashing, hit a wall
Right now I need a miracle
Hurry up now, I need a miracle
Stranded, reaching out
I call your name, but you're not around
I say your name, but you're not around

[Chorus]
I need you, I need you, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losing my mind now
It's in my head, darling, I hope
That you'll be here when I need you the most
So don't let me, don't let me, don't let me down
D-don't let me down
Don't let me down

[Post-Chorus]
Don't let me down, down, down
Don't let me down
Don't let me down, down, down

[Verse 2]
R-r-running out of time
I really thought you were on my side
But now there's nobody by my side

[Chorus]
I need you, I need you, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losing my mind now
It's in my head, darling, I hope
That you'll be here when I need you the most
So don't let me, don't let me, don't let me down
D-don't let me down
Don't let me down

[Post-Chorus]
Don't let me down, down, down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down
Don't let me down, down, down

[Bridge]
Ooh, I think I'm losing my mind now, yeah
Ooh, I think I'm losing my mind now, yeah

[Chorus]
I need you, I need you, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losing my mind now
It's in my head, darling, I hope
That you'll be here when I need you the most
So don't let me, don't let me, don't let me down
Don't let me down

[Outro]
Yeah, don't let me down
Yeah, don't let me down
Don't let me down, oh, no
Say don't let me down
Don't let me down, no-o
Don't let me down
Don't let me down, down, down"
37,Twenty One Pilots,Stressed Out,"[Verse 1]
I wish I found some better sounds no one's ever heard
I wish I had a better voice that sang some better words
I wish I found some chords in an order that is new
I wish I didn't have to rhyme every time I sang
I was told, when I get older, all my fears would shrink
But now I'm insecure, an' I care what people think

[Pre-Chorus]
My name's Blurryface and I care what you think
My name's Blurryface and I care what you think

[Chorus]
Wish we could turn back time to the good old days
When our momma sang us to sleep, but now we're stressed out
(Oh) Wish we could turn back time (Oh) to the good old days (Oh)
When our momma sang us to sleep, but now we're stressed out
We're stressed out

[Verse 2]
Sometimes a certain smell will take me back to when I was young
How come I'm never able to identify where it's comin' from?
I'd make a candle out of it, if I ever found it
Try to sell it, never sell out of it, I'd probably only sell one
It'd be to my brother, 'cause we have the same nose
Same clothes, homegrown, a stone's throw from a creek we used to roam
But it would remind us of when nothing really mattered
Out of student loans and treehouse homes, we all would take the latter

[Pre-Chorus]
My-my name's Blurryface and I care what you think
My name's Blurryface and I care what you think

[Chorus]
Wish we could turn back time to the good old days
When our momma sang us to sleep, but now we're stressed out
(Oh) Wish we could turn back time (Oh) to the good old days (Oh)
When our momma sang us to sleep, but now we're stressed out

[Bridge]
We used to play pretend, give each other different names
We would build a rocket ship an' then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Sayin', ""Wake up, you need to make money!,"" yeah
We used to play pretend, give each other different names
We would build a rocket ship an' then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Sayin', ""Wake up, you need to make money!,"" yeah

[Chorus]
Wish we could turn back time to the good old days
When our momma sang us to sleep, but now we're stressed out
(Oh) Wish we could turn back time (Oh) to the good old days (Oh)
When our momma sang us to sleep, but now we're stressed out

[Outro]
We used to play pretend, used to play pretend, bunny
We used to play pretend, wake up, you need the money
Used to play pretend, used to play pretend, bunny
We used to play pretend, wake up, you need the money
Used to play pretend, give each other different names
We would build a rocket ship an' then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Sayin', ""Wake up, you need to make money!,"" yeah"
38,Justin Timberlake,Can't Stop The Feeling,"[Verse 1]
I got this feeling inside my bones
It goes electric, wavey when I turn it on
All through my city, all through my home
We're flying up, no ceiling, when we in our zone

[Refrain]
I got that sunshine in my pocket
Got that good soul in my feet
I feel that hot blood in my body when it drops
I can't take my eyes up off it, moving so phenomenally
Room on lock, the way we rock it, so don't stop

[Pre-Chorus]
And under the lights when everything goes
Nowhere to hide when I'm getting you close
When we move, well, you already know
So just imagine, just imagine, just imagine

[Chorus]
Nothing I can see but you when you dance, dance, dance
A feeling good, good, creeping up on you
So just dance, dance, dance, come on
All those things I shouldn't do
But you dance, dance, dance
And ain't nobody leaving soon, so keep dancing
I can't stop the feeling
So just dance, dance, dance
I can't stop the feeling
So just dance, dance, dance (Come on)

[Verse 2]
Ooh, it's something magical
It's in the air, it's in my blood, it's rushing on
I don't need no reason, don't need control
I fly so high, no ceiling, when I'm in my zone

[Refrain]
'Cause I got that sunshine in my pocket
Got that good soul in my feet
I feel that hot blood in my body when it drops
I can't take my eyes up off it, moving so phenomenally
Room on lock, the way we rock it, so don't stop

[Pre-Chorus]
And under the lights when everything goes
Nowhere to hide when I'm getting you close
When we move, well, you already know
So just imagine, just imagine, just imagine

[Chorus]
Nothing I can see but you when you dance, dance, dance
A feeling good, good, creeping up on you
So just dance, dance, dance, come on
All those things I shouldn't do
But you dance, dance, dance
And ain't nobody leaving soon, so keep dancing
I can't stop the feeling
So just dance, dance, dance
I can't stop the feeling
So just dance, dance, dance (Come on)
I can't stop the feeling
So just dance, dance, dance
I can't stop the feeling
So keep dancing (Come on)

[Bridge]
I can't stop the, I can't stop the
I can't stop the, I can't stop the
I can't stop the feeling

[Chorus]
Nothing I can see but you when you dance, dance, dance
(I can't stop the feeling)
Feeling good, good, creeping up on you
So just dance, dance, dance, come on
(I can't stop the feeling)
All those things I shouldn't do
But you dance, dance, dance
(I can't stop the feeling)
And ain't nobody leaving soon, so keep dancing

[Outro]
Everybody sing
(I can't stop the feeling)
Got this feeling in my body
(I can't stop the feeling)
Got this feeling in my body
(I can't stop the feeling)
Wanna see you move your body
(I can't stop the feeling)
Got this feeling in my body, come on
Break it down
Got this feeling in my body
Can't stop the feeling
Got this feeling in my body, come on"
