,Unnamed: 0,year,position,artist,song,lyrics
44,45,2014,45,Beyonce & Jay-Z,Drunk In Love,"
I've been drinkin', I've been drinkin'
I get filthy when that liquor get into me
I've been thinkin', I've been thinkin'
Why can't I keep my fingers off it?
Baby, I want you, now-now
Why can't I keep my fingers off you?
Baby, I want you, now-now
Cigars on ice, cigars on ice
Feelin' like an animal with these cameras all in my grill
Flashin' lights, flashin' lights
You got me faded, faded, faded
Baby, I want you, now-now
Can't keep your eyes off my fatty
Daddy, I want you, now-now
Drunk in love, I want you


We woke up in the kitchen
Saying, ""How the hell did this shit happen?""
Oh, baby, drunk in love
We be all night, last thing I remember
Is our beautiful bodies grindin' up in that club
Drunk in love


We be all night, love, love
We be all night, love, love


We be all night, and everything all right
No complaints from my body
So fluorescent under these lights
Boy, I'm drinkin', park it in my lot, 7-11
I'm rubbin' on it, rub-rubbin'
If you scared, call that reverend
Boy, I'm drinkin', get my brain right
Armand de Brignac, gangster wife
Louis sheets, he sweat it out
Like washrags, he wet it up
Boy, I'm drinkin', I'm singin' on the mic to my boy toys
Then I fill the tub up halfway
Then ride it with my surfboard, surfboard, surfboard
Grainin' on that wood
Grainin'-grainin' on that wood
I'm swervin' on that, swervin'-swervin' on that
Big body been servin' all this
Swerve, surfin' all in this good-good


We woke up in the kitchen
Saying, ""How the hell did this shit happen?""
Oh, baby, drunk in love
We be all night, last thing I remember
Is our beautiful bodies grindin' up in that club
Drunk in love


We be all night, love, love
We be all night, love, love
I'm nice right now… Hold up!


That D'USSÉ is the shit if I do say so myself
If I do say so myself, if I do say so myself
Hold up, stumble all in the house
Time to back up all that mouth
That you had all in the car
Talkin' about you the baddest bitch thus far
Talkin' about you be reppin' that Third
I wanna see all that shit that I heard
Know I sling Clint Eastwood
Hope you can handle this curve, uh
Foreplay in a foyer, fucked up my Warhol
Slid the panties right to the side
Ain't got the time to take drawers off
On sight, catch a charge I might
Beat the box up, like Mike in '97, I bite
I'm Ike Turner, turn up, baby, no I don't play
""Now eat the cake, Anna Mae!""
Said, ""Eat the cake, Anna Mae!""
I'm nice, for y'all to reach these heights
You gon' need G3, 4, 5, 6 flights
Sleep tight, we sex again in the morning
Your breasteses is my breakfast
We goin' in, we be all night


We be all night, love, love
We be all night, love, love


I'm never tired, never tired
I been sippin', that's the only thing
That's keepin' me on fire, we on fire
Didn't mean to spill that liquor all on my attire
I've been drinkin', watermelon
I want your body right here
Daddy, I want you, right now
Can't keep your eyes off my fatty
Daddy, I want you


We be all night, love, love
We be all night, love, love

"
45,46,2014,46,Lorde,Royals,"



I've never seen a diamond in the flesh
I cut my teeth on wedding rings in the movies
And I'm not proud of my address
In a torn up town, no postcode envy


But every song's like
Gold teeth, Grey Goose, trippin' in the bathroom
Bloodstains, ball gowns, trashin' the hotel room
We don't care; we're driving Cadillacs in our dreams
But everybody's like
Cristal, Maybach, diamonds on your timepiece
Jet planes, islands, tiger's on a gold leash
We don't care; we aren't caught up in your love affair


And we'll never be royals (Royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (Ruler)
You can call me queen bee
And baby, I'll rule (I'll rule, I'll rule, I'll rule)
Let me live that fantasy


My friends and I, we've cracked the code
We count our dollars on the train to the party
And everyone who knows us knows
That we're fine with this
We didn't come from money


But every song's like
Gold teeth, Grey Goose, trippin' in the bathroom
Bloodstains, ball gowns, trashin' the hotel room
We don't care; we're driving Cadillacs in our dreams
But everybody's like
Cristal, Maybach, diamonds on your timepiece
Jet planes, islands, tiger's on a gold leash
We don't care; we aren't caught up in your love affair


And we'll never be royals (Royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (Ruler)
You can call me queen bee
And baby, I'll rule (I'll rule, I'll rule, I'll rule)
Let me live that fantasy


(Oh, oh-oh)
We're bigger than we ever dreamed
And I'm in love with being queen
(Oh, oh-oh)
Life is great without a care
We aren't caught up in your love affair


And we'll never be royals (Royals)
It don't run in our blood
That kind of luxe just ain't for us
We crave a different kind of buzz
Let me be your ruler (Ruler)
You can call me queen bee
And baby, I'll rule (I'll rule, I'll rule, I'll rule)
Let me live that fantasy"
46,47,2014,47,Jason Derulo,Trumpets,"
Every time that you get undressed
I hear symphonies in my head
I wrote this song just looking at you oh, oh
Yeah, the drums they swing low
And the trumpets they go
And the trumpets they go
Yeah, the trumpets they go
Da da, da ra ra da, da, da
Da, ra, ra, ra, da, da
Da da, da ra ra da, da, da (ooh, woo)
Da, ra, ra, ra, da, da (they go)


Haha, is it weird that I hear
Violins whenever you’re gone? (Whenever you're gone)
Yeah, is it weird that your ass
Remind me of a Kanye West song? (Kanye West song)
Haha, yeah, is it weird that I hear
Trumpets when you’re turning me on? (Turning me on)
Is it weird that your bra
Remind me of a Katy Perry song?


Every time that you get undressed
I hear symphonies in my head
I wrote this song just looking at you oh, oh
Yeah, the drums they swing low
And the trumpets they go (and they're playing for you, baby)
And the trumpets they go, haha, yeah
Yeah, the trumpets they go
Da da, da ra ra da, da, da
Da, ra, ra, ra, da, da
Yeah, the trumpets they go
Da da, da ra ra da, da, da (go, go go, go go)
Da, ra, ra, ra, da, da (go, go go, go go, they go)


Damn, is it weird that I hear
Angels every time that you moan? (Time that you moan)
Uh, oh, yeah, is it weird that your eyes
Remind me of a Coldplay song? (A Coldplay song)
Is it weird that I hear
Trumpets when you’re turning me on?
Is it weird that your bra (that your bra)
Remind me of a Katy Perry song?


Every time that you get undressed
I hear symphonies in my head
I wrote this song looking at you oh, oh (oh yeah)
Every time that you get undressed (every time, every time that you get undressed)
I hear symphonies in my head (haha, I har symphonies in my head)
I wrote this song just looking at you oh, oh (haha, I wrote this song, just looking at you, girl)
Uh, yeah, the drums they swing low
And the trumpets they go
[Da da, da ra ra da, da, da
Da, ra, ra, ra, da, da (acapella on 'em)
Da da, da ra ra da, da, da (they go, oh yeah, oh)
Da, ra, ra, ra, da, da (c'mon, c'mon, c'mon)](2959868)
They go

"
47,48,2014,48,Disclosure & Sam Smith,Latch,"
Never
Never
Never


You lift my heart up when the rest of me is down
You, you enchant me even when you're not around
If there are boundaries, I will try to knock them down
I’m latching on, babe, now I know what I have found


I feel we're close enough
I wanna lock in your love
I think we're close enough
Could I lock in your love, baby?


Now I've got you in my space
I won't let go of you
Got you shackled in my embrace
I'm latching on to you
Now I've got you in my space
I won't let go of you
Got you shackled in my embrace
I'm latching on to you


I'm so encaptured, got me wrapped up in your touch
Feel so enamoured, hold me tight within your clutch
How do you do it? You got me losing every breath
What did you give me to make my heart beat out my chest?


I feel we're close enough
I wanna lock in your love
I think we're close enough
Could I lock in your love, baby?
I feel we're close enough
I wanna lock in your love
I think we're close enough
Could I lock in your love, baby?


Now I've got you in my space
I won't let go of you
Got you shackled in my embrace
I'm latching on to you
Now I've got you in my space
I won't let go of you
Got you shackled in my embrace
I'm latching on to you


I'm latching on to you
I won't let go of you
I'm latching on to you
I won't let go of you
I won't let go, I won't let go
I won't let go, I won't let go"
48,49,2014,49,Kiesza,Hideaway,"



Taking me higher than I've ever been before
I'm holding it back, just want to shout out, give me more
You're just a hideaway
You're just a feeling
You let my heart escape
Beyond the meaning
Not even I can find a way to stop the storm
Oh baby, it's out of my control
It's going home
But you're just a chance I take
To keep on dreaming
You're just another day
That keeps me breathing


Baby, I love the way that there's nothing sure
Baby, don't stop me
Hideaway with me some more
Ooh, aah, aah, ooh
Ooh, aah, aah, ooh
Ooh, aah, aah, ooh
Ooh, aah, aah, ooh


You send me the shiver and the spine, might overflow
You're bringing me closer to the edge
I'm letting go
You're just a hideaway
You're just a feeling
You let my heart escape
Beyond the meaning
Pulling my head into the clouds
I'm floating off
When you can be going I can't find a way to stop
You're just a chance I take
To keep on dreaming
You're just another day that keeps me breathing
Ooh, aah, aah, ooh
Ooh, aah, aah, ooh


Baby, I love the way that there's nothing sure
Baby, don't stop me
Hideaway with me some more
Hideaway with me some more


You're bringing me higher than I've ever been before
I'm holding it back, just want to shout it, give me more
But you're just a hideaway
You're just a feeling
You let my heart escape
Beyond the meaning
Not even I can find a way to stop the storm
Oh baby, its out of my control what's going on
You're just a chance I take
To keep on dreaming
You're just another day, that keeps me breathing
You're a day that keeps me dreaming
Ooh, aah, aah, ooh
Ooh, aah, aah, ooh


Baby, I love the way that there's nothing sure
Baby, don't stop me
Hideaway with me some more
Hideaway with me some more"
49,50,2014,50,Helene Fischer,Atemlos durch die Nacht,"
Wir ziehen durch die Straßen und die Clubs dieser Stadt
Das ist unsre Nacht, wie für uns beide gemacht
Oh-oh, oh-oh
Ich schließe meine Augen, lösche jedes Tabu
Küsse auf der Haut, so wie ein Liebestattoo
Oh-oh, oh-oh


Was das zwischen uns auch ist
Bilder, die man nie vergisst
Und dein Blick hat mir gezeigt:
Das ist unsre Zeit


Atemlos durch die Nacht
Bis ein neuer Tag erwacht
Atemlos, einfach raus
Deine Augen zieh'n mich aus
Atemlos durch die Nacht
Spür, was Liebe mit uns macht
Atemlos, schwindelfrei
Großes Kino für uns zwei
Wir sind heute ewig, tausend Glücksgefühle
Alles was ich bin, teil' ich mit dir
Wir sind unzertrennlich, irgendwie unsterblich
Komm, nimm meine Hand und geh mit mir!


Komm, wir steigen auf das höchste Dach dieser Welt
Halten einfach fest was uns zusammenhält
Oh-oh, oh-oh
Bist du richtig süchtig, Haut an Haut, ganz berauscht
Fall in meine Arme und der Fallschirm geht auf
Oh-oh, oh-oh


Alles, was ich will ist da
Große Freiheit pur, ganz nah
Nein, wir wollen hier nicht weg
Alles ist perfekt


Atemlos durch die Nacht
Spür, was Liebe mit uns macht
Atemlos, schwindelfrei
Großes Kino für uns zwei
Wir sind heute ewig, tausend Glücksgefühle
Alles was ich bin, teil' ich mit dir
Wir sind unzertrennlich, irgendwie unsterblich
Komm, nimm meine Hand und geh mit mir!

Atemlos ...


Lust pulsiert auf meiner Haut


Atemlos durch die Nacht
Spür, was Liebe mit uns macht
Atemlos, schwindelfrei
Großes Kino für uns zwei
Wir sind heute ewig, tausend Glücksgefühle
Alles was ich bin, teil' ich mit dir
Wir sind unzertrennlich, irgendwie unsterblich
Komm, nimm meine Hand und geh mit mir!

Atemlos ..."
50,51,2014,51,Jeremih & YG,Don't Tell 'Em,"
Mustard on the beat, ho


Rhythm is a dancer, I need a companion
Girl I guess that must be you
Body like the summer, fuckin' like no other
Don't you tell 'em what we do
Don't tell 'em, don't tell 'em, you ain't even
Don't tell 'em, don't tell 'em
You ain't even, you ain't even gotta tell 'em
Don't tell 'em, don't tell 'em
You ain't even, don't tell 'em, don't tell 'em
You ain't even, you ain't even even gotta tell 'em
Don't tell 'em, don't tell 'em


Know you say you down with it
Won’t tell em how you hit the ground with it
Girl, you know I’m from Chicago
I act a fool, Bobby Brown with it (in it)
Nobody take me out, though
You got gifts, bring 'em down the South Pole
Marathon doll gon' put in miles
Don’t you worry 'bout him, I gon' work it out


Only is you got me feeling like this
Oh why, why, why, why, why
Loving while grabbing the rhythm of your hips
That’s right, right, right, right, right


Rhythm is a dancer, I need a companion
Girl, I guess that must be you
Body like the summer, fuckin' like no other
Don't you tell 'em what we do
Don't tell 'em, don't tell 'em, you ain't even
Don't tell 'em, don't tell 'em
You ain't even, you ain't even gotta tell 'em
Don't tell 'em, don't tell 'em
You ain't even, don't tell 'em, don't tell 'em
You ain't even, you ain't even even gotta tell 'em
Don't tell 'em, don't tell 'em


Girl, he fufu with it
But you know I know what to do with it
I'll give you that, girl, I'm talking laps
As if you got a pool in it
And she say she ain't with your best friends
Then let me be your diamond
You know you feeling, how your boy press play
Just keep that ass rewindin'


Only is you got me feeling like this
Oh why, why, why, why
Loving while grabbing the rhythm of your hips
That’s right, right, right, right, right


Rhythm is a dancer, I need a companion
Girl, I guess that must be you
Body like the summer, fuckin' like no other
Don't you tell 'em what we do
Don't tell 'em, don't tell 'em, you ain't even
Don't tell 'em, don't tell 'em
You ain't even, you ain't even gotta tell 'em
Don't tell 'em, don't tell 'em
You ain't even, don't tell 'em, don't tell 'em
You ain't even, you ain't even even gotta tell 'em
Don't tell 'em, don't tell 'em


3-1-0 9-3-4 8-6-1-6
I got a missed call from your bitch
She been plottin' on me for a cool minute
She wanna' suck my dick, and I'm cool with it
I like girls in the shower, when it's winter fresh
It’s some Twitter pussy, I met on the Internet
On my late-night thirsty, ‘cause it was late-night and I was thirsty
Girl, I been to that county girl, I ain't tellin'
Handcuff me to the bed, girl it ain't no bailin'
I keep a stack of hundreds, I can keep a secret
If anything you was explorin', you wasn’t cheating
She got my number stored under fake names
Her nigga think she faithful, but she runnin' game
YOLO, so take me out these Polos
And we can fuck from Uno to Ocho


Only is you got me feeling like this
Oh why, why, why, why, why
Loving while grabbing the rhythm of your hips
That’s right, right, right, right, right


Rhythm is a dancer, I need a companion
Girl, I guess that must be you
Body like the summer, fuckin' like no other
(I keep it on the D.L, and creep like TL
Just tell me them details, just hand me)
Don't you tell 'em what we do
Don't tell 'em, don't tell 'em, you ain't even
Don't tell 'em, don't tell 'em
You ain't even, you ain't even gotta tell 'em
Don't tell 'em, don't tell 'em
You ain't even, don't tell 'em, don't tell 'em
You ain't even, you ain't even even gotta tell 'em
Don't tell 'em, don't tell 'em (no)


Right, right, right, right, right, right, right
Don't tell 'em, don't tell 'em, no
Why, why, why, why would you do (oh)
Just keep the rhythm like that, that (that, that)
Put in on like that, that (that, that)
I know you like that (that, that, that, that)
You know I want that (that, that, that, that)
Ohh oh-ohh oh-ohh oh-ohh"
51,52,2014,52,Lilly Wood & The Prick & Robin Schulz,Prayer In C (Robin Schulz Remix),"Yeah, you never said a word
You didn't send me no letter
Don't think I could forgive you

See our world is slowly dying
I'm not wasting no more time
Don't think I could believe you

Yeah, you never said a word
You didn't send me no letter
Don't think I could forgive you

See our world is slowly dying
I'm not wasting no more time
Don't think I could believe you

Yeah, our hands will get more wrinkled
And our hair will be grey
Don't think I could forgive you

And see the children are starving
And their houses were destroyed
Don't think they could forgive you

Hey, when seas will cover lands
And when men will be no more
Don't think you can forgive you

Yeah when there'll just be silence
And when life will be over
Don't think you will forgive you

Yeah, you never said a word
You didn't send me no letter
Don't think I could forgive you

See our world is slowly dying
I'm not wasting no more time
Don't think I could believe you

Yeah, you never said a word
You didn't send me no letter
Don't think I could forgive you

See our world is slowly dying
I'm not wasting no more time
Don't think I could believe you

Yeah, our hands will get more wrinkled
And our hair will be grey
Don't think I could forgive you

And see the children are starving
And their houses were destroyed
Don't think they could forgive you

Hey, when seas will cover lands
And when men will be no more
Don't think you can forgive you

Yeah when there'll just be silence
And when life will be over
Don't think you will forgive you"
52,53,2014,53,Martin Garrix,Animals,"We're the fuckin' animals



We're the fuckin' animals

"
53,54,2014,54,Michael Jackson & Justin Timberlake,Love Never Felt So Good,"
Dancin'
Let me see you move, come on
Dancin'
Let me see you move


Baby, love never felt so good
And I doubt if it ever could
Not like you hold me, hold me
Oh baby, love never felt so fine
And I doubt if it's never mine
Not like you hold me, hold me


And the night is gonna be just fine
Gotta fly, gotta see, can't believe
I can't take it, cause


Baby, every time I love you
In and out of my life, in out baby
Tell me, if you really love me
It's in and out of my life, in out baby
So baby, love never felt so good


Baby, love never felt so fine
And I doubt if it was ever mine
Not like you hold me, hold me
Oh baby, love never felt so good
And I doubt if it ever could
Not like you hold me, hold me


And the night through the thick and thin
Gotta fly, gotta see, can't believe
I can't take it cause


Baby, every time I love you
In and out of my life, in out baby
Tell me, if you really love me
It's in and out of my life, in out baby
So baby, love never felt so good


Dancin'
Let me see you move, come on
Let me see you move
Dancin'
Let me see you move, come on
I said let me see you move
Michael


And the night, that is good
Gotta fly, gotta see, can't believe
I can't take it cause


Baby, every time I love you
In and out of my life, in out baby
Tell me, if you really love me
It's in and out of my life, in out baby
So baby, love never felt so good
Baby, every time I love you
In and out of my life, in out baby
Tell me, if you really love me
It's in and out of my life, in out baby
So baby, love never felt so good"
54,55,2014,55,Calvin Harris & John Newman,Blame,"
Can't be sleeping
Keep on waking without the woman next to me
Guilt is burning, inside I'm hurting
This ain't a feeling I can keep


So blame it on the night
Don't blame it on me, don't blame it on me
Blame it on the night
Don't blame it on me, don't blame it on me


Blame it on the night
Don't blame it on me, don't blame it on me
So blame it on the night
Don't blame it on me, don't blame it on me


Can't you see it? I was manipulated
I had to let her through the door
I had no choice in this, I was the friend she missed
She needed me to talk


So blame it on the night
Don't blame it on me, don't blame it on me
Blame it on the night
Don't blame it on me, don't blame it on me


Blame it on the night
Don't blame it on me, don't blame it on me
So blame it on the night
Don't blame it on me, don't blame it on me


Oh I'm so sorry, so sorry baby
(I'll be better this time...)
I will be better this time
I got to say, I'm so sorry
Oh I promise
(I'll be better this time, I'll be better this time...)


Don't blame it on me
Don't blame it on me"
55,56,2014,56,Aloe Blacc,The Man,"


Well, you can tell everybody
Yeah, you can tell everybody
Go ahead and tell everybody
I'm the man, I'm the man, I'm the man


Yes I am, yes I am, yes I am
I'm the man, I'm the man, I'm the man


I believe every lie that I ever told
Paid for every heart that I ever stole
I played my cards and I didn't fold
Well it ain't that hard when you got soul
(This is my world)
Somewhere I heard that life is a test
I been through the worst but still, I give my best
God made my mold different from the rest
Then he broke that mold so I know I’m blessed
(This is my world)


Stand up now and face the sun
Won’t hide my tail or turn and run
It’s time to do what must be done
Be a king when kingdom comes


Well, you can tell everybody
Yeah, you can tell everybody
Go ahead and tell everybody
I'm the man, I'm the man, I'm the man
Well, you can tell everybody
Yeah, you can tell everybody
Go ahead and tell everybody
I'm the man, I'm the ma,n I'm the man


Yes I am, yes I am, yes I am
I'm the man, I'm the man, I'm the man


I got all the answers to your questions
I’ll be the teacher you could be the lesson
I’ll be the preacher you be the confession
I’ll be the quick relief to all your stressing
(This is my world)
It’s a thin line between love and hate
Is you really real or is you really fake
I’m a soldier standing on my feet
No surrender and I won’t retreat
(This is my world)


Stand up now and face the sun
Won’t hide my tail or turn and run
It’s time to do what must be done
Be a king when kingdom comes


Well, you can tell everybody
Yeah, you can tell everybody
Go ahead and tell everybody
I'm the man, I'm the man, I'm the man
Well, you can tell everybody
Yeah, you can tell everybody
Go ahead and tell everybody
I'm the man, I'm the man, I'm the man
Well, you can tell everybody
Yeah, you can tell everybody
Go ahead and tell everybody
I'm the man, I'm the man, I'm the man
Well, you can tell everybody
Yeah, you can tell everybody
Go ahead and tell everybody
I'm the man, I'm the man, I'm the man


Yes I am, yes I am, yes I am
I'm the man, I'm the man, I'm the man


I’m the man
Go ahead and tell everybody what I’m saying y’all
I’m the man
Go ahead and tell everybody what I’m saying y’all


Well, you can tell everybody
Yeah, you can tell everybody
Go ahead and tell everybody
I'm the man, I'm the man, I'm the man
Well, you can tell everybody
Yeah, you can tell everybody
Go ahead and tell everybody
I'm the man, I'm the man, I'm the man
Well, you can tell everybody
Yeah, you can tell everybody
Go ahead and tell everybody
I'm the man, I'm the man, I'm the man
Well, you can tell everybody
Yeah, you can tell everybody
Go ahead and tell everybody
I'm the man, I'm the man, I'm the man


Yes I am, yes I am, yes I am
I'm the man, I'm the man, I'm the man"
56,57,2014,57,Ed Sheeran,I See Fire,"
Oh misty eye of the mountain below
Keep careful watch of my brothers' souls
And should the sky be filled with fire and smoke
Keep watching over Durin's sons


If this is to end in fire, then we should all burn together
Watch the flames climb high into the night
Calling out father oh, stand by and we will
Watch the flames burn auburn on the mountain side


And if we should die tonight, we should all die together
Raise a glass of wine for the last time
Calling out father oh, prepare as we will
Watch the flames burn auburn on the mountain side
Desolation comes upon the sky


Now I see fire, inside the mountain
I see fire, burning the trees
And I see fire, hollowing souls
I see fire, blood in the breeze
And I hope that you remember me


Oh, should my people fall then surely I'll do the same
Confined in mountain halls, we got too close to the flame
Calling out father oh, hold fast and we will
Watch the flames burn auburn on the mountain side
Desolation comes upon the sky


Now I see fire, inside the mountain
I see fire, burning the trees
And I see fire, hollowing souls
I see fire, blood in the breeze
And I hope that you remember me


And if the night is burning, I will cover my eyes
For if the dark returns then my brothers will die
And as the sky's falling down it crashed into this lonely town
And with that shadow upon the ground I hear my people screaming out


Now I see fire, inside the mountain
I see fire, burning the trees
I see fire, hollowing souls
I see fire, blood in the breeze
I see fire (oh you know I saw a city burning out)
I see fire (feel the heat upon my skin)
I see fire
And I see fire burn auburn on the mountainside"
57,58,2014,58,Ellie Goulding,Burn,"
We, we don't have to worry 'bout nothing
'Cause we got the fire
And we're burning one hell of a something
They, they gonna see us from outer space
Outer space, light it up
Like we're the stars of the human race, human race


When the lights turned down, they don't know what they heard
Strike the match, play it loud, giving love to the world
We'll be raising our hands, shining up to the sky
'Cause we got the fire, fire, fire
Yeah, we got the fire, fire, fire
And we gonna let it burn, burn, burn, burn
We gonna let it burn, burn, burn, burn
Gonna let it burn, burn, burn, burn
We gonna let it burn, burn, burn, burn


We don't wanna leave
No, we just gonna be right now, right now
And what we see, is everybody's on the floor
Acting crazy, getting loco 'til the light's out
Music's on, I'm waking up
We start the fire, and we burn it up
And it's over now, we got the love
There's no secret now, no secret now


When the lights turned down, they don't know what they heard
Strike the match, play it loud, giving love to the world
We'll be raising our hands, shining up to the sky
'Cause we got the fire, fire, fire
Yeah, we got the fire, fire, fire
And we gonna let it burn, burn, burn, burn
We gonna let it burn, burn, burn, burn
Gonna let it burn, burn, burn, burn
We gonna let it burn, burn, burn, burn


When the lights turned down, they don't know what they heard
Strike the match, play it loud, giving love to the world
We gonna let it burn, burn, burn, burn, burn, burn
Burn, burn, burn, burn, burn, burn


We can light it up, up, up
So they can't put it out, out, out
We can light it up, up, up
So they can't put it out, out, out
We can light it up, up, up
So they can't put it out, out, out
We can light it up, up, up
So they can't put it out, out, out


When the lights turned down, they don't know what they heard
Strike the match, play it loud, giving love to the world
We'll be raising our hands, shining up to the sky
'Cause we got the fire, fire, fire
Yeah, we got the fire, fire, fire
And we gonna let it burn, burn, burn, burn
We gonna let it burn, burn, burn, burn
Gonna let it burn, burn, burn, burn
We gonna let it burn, burn, burn, burn


When the lights turned down, they don't know what they heard
Strike the match, play it loud, giving love to the world
We'll be raising our hands, shining up to the sky
'Cause we got the fire, fire, fire
Yeah, we got the fire, fire, fire
And we're gonna let it burn"
58,59,2014,59,Kid Ink & Chris Brown,Show Me,"
Baby (yeah)
Mustard on the beat, ho


Baby, let me put your panties to the side (uh)
I'ma make you feel alright (right)
‘Cause I'ma give you what you need, yeah


Mami, you remind me of something (uh)
But I don’t know what it is (I don't know)
'Cause you remind me of something
Girl, you gotta show me (uh, alright)
You remind me of something (uh)
But I don’t know what it is right now (I don't know)
'Cause you remind me of something
Girl, you gotta show me (uh)


Uh, on the real no lie
I don’t know what it is but you just my type (yeah)
Everything just right, B said put it to the left (right)
Don’t listen to the hype though (whoop)
Got a cup in your hand
Baby sitting but you ain’t got no kids
We ain’t leaving ’til there ain’t no more left (yeah)
Can’t see no time on the Rolex (no)
I could tell you a freak, gon' show it
Lookin' for the after party, where the door at?
Dough on the floor like a doormat (uh)
Baby, you know where to throw that, I said


Mami, you remind me of something, baby, you remind me (uh)
But I don’t know what it is, uh-huh (I don't know)
'Cause you remind me of something
Girl, you gotta show me, yeah (uh, alright)
You remind me of something, woo (uh)
But I don’t know what it is right now, yeah, yeah (I don't know)
'Cause you remind me of something
Girl, you gotta show me, yeah (uh)


Baby, if you know what it is, ooh, baby
On a real, can’t lie, man, you just my type
Hands in the air looking for a bitch right now, ooh, baby
On a real, can’t lie, man, you just my type


Uh, so tell me what your name is
I don’t really care who you came with (no)
Unless you got a couple friends look like you
My bad if my ex try to fight you (ha?)
Roll up soon as I roll in
Security better get with the program
Too deep, ain't know where to stand
So high, ain’t nowhere to land
You remind me of something missing
Missus, you got my full attention
Listen, let go of the tension
If I get a minute, I’ll put your bad ass in detention


Baby, let me put your panties to the side, hey, hey (uh)
I'ma make you feel alright, babe (right)
‘Cause I'ma give you what you need, yeah, oh, oh, oh


Mami, you remind me of something, baby, you remind me (uh)
But I don’t know what it is, remind me, yeah (I don't know)
'Cause you remind me of something
Girl, you gotta show me (uh, alright)
Baby, you remind me of something (uh)
But I don’t know what it is right now (I don't know)
'Cause you remind me of something
Girl, you gotta show me, yeah, yeah, yeah (uh)


Baby, if you know what it is, oh, baby, oh, babe
On a real, can’t lie, man, you just my type
Hands in the air looking for a bitch right now (I'm lookin' for ya)
On a real, can’t lie, man, you just my type


Oh baby, show me, show me something
Tomorrow I might be hungover, but that don't mean nothing
You see all night long, I've been wrong
Baby, show me something
And she gon' let me do it


Baby, let me put your panties to the side
I'ma make you feel alright
‘Cause I'ma give you what you need, yeah, yeah


Baby, you remind me of something (uh)
And I don’t know what it is (I don't know)
'Cause you remind me of something
Girl, you gotta show me (uh, alright)
Baby, you remind me of something (uh)
I don’t know what it is right now (I don't know)
'Cause you remind me of something
Girl, you gotta show me (uh)"
59,60,2014,60,George Ezra,Budapest,"
My house in Budapest, my
My hidden treasure chest
Golden grand piano
My beautiful Castillo


You, ooh, you, ooh
I'd leave it all


My acres of a land
I have achieved
It may be hard for you to
Stop and believe


But for you, ooh, you, ooh
I'd leave it all
Oh, for you, ooh, you, ooh
I'd leave it all


Give me one good reason
Why I should never make a change
And baby, if you hold me
Then all of this will go away


My many artifacts
The list goes on
If you just say the words, I'll
I'll up and run


Oh, to you, ooh, you, ooh
I'd leave it all
Oh, for you, ooh, ooh
I'd leave it all


Give me one good reason
Why I should never make a change
And baby, if you hold me
Then all of this will go away
Give me one good reason
Why I should never make a change
And baby, if you hold me
Then all of this will go away


A-ooh
A-ooh


My friends and family
They, don't understand
They fear they'll lose so much
If you take my hand


But for you, ooh, you, ooh
I'd lose it all
Oh, for you, ooh, you, ooh
I'd lose it all


Give me one good reason
Why I should never make a change
And baby, if you hold me
Then all of this will go away
Give me one good reason
Why I should never make a change
And baby, if you hold me
Then all of this will go away


My house in Budapest, my
My hidden treasure chest
Golden grand piano
My beautiful Castillo


You, ooh, you, ooh
I'd leave it all
Oh, for you, ooh, you, ooh
I'd leave it all"
60,61,2014,61,Hozier,Take Me To Church,"




My lover's got humor
She's the giggle at a funeral
Knows everybody's disapproval
I should've worshiped her sooner
If the heavens ever did speak
She's the last true mouthpiece
Every Sunday's getting more bleak
A fresh poison each week
""We were born sick""
You heard them say it
My church offers no absolutes
She tells me ""Worship in the bedroom""
The only Heaven I'll be sent to
Is when I'm alone with you
I was born sick, but I love it
Command me to be well


Amen, Amen, Amen


Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life


If I'm a pagan of the good times
My lover's the sunlight
To keep the goddess on my side
She demands a sacrifice
Drain the whole sea
Get something shiny
Something meaty for the main course
That's a fine looking high horse
What you got in the stable?
We've a lot of starving faithful
That looks tasty
That looks plenty
This is hungry work


Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins so you can sharpen your knife
Offer me my deathless death
Good God, let me give you my life
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins so you can sharpen your knife
Offer me my deathless death
Good God, let me give you my life


No masters or kings when the ritual begins
There is no sweeter innocence than our gentle sin
In the madness and soil of that sad earthly scene
Only then I am human
Only then I am clean


Oh, oh Amen, Amen, Amen


Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life"
